planet_name,star_name,planets_in_system,orbital_period,semi_major_axis,radius_earths,mass_earths,radius_jupiters,mass_jupiters,density,equilibrium_temperature,ra,dec_
HD 80653 b,HD 80653,2,0.71957926,0.01657,1.621,5.61,0.14461618,0.01765103,7.24,2438.0,140.3390845,14.3678691
K2-312 c,HD 80653,2,871.32,1.882,12.8,1681.31227303,1.14,5.29,4.41,229.0,140.3390845,14.3678691
XO-2 S d,XO-2 S,4,4696.0,5.46,13.0,1179.14338997,1.16,3.71,2.95,110.98,117.0309753,50.2169068
Kepler-1808 b,Kepler-1808,1,23.3404007,0.1467,3.02511302,9.4,0.26988297,0.0296,1.87,601.0,287.2924737,39.3832039
Kepler-249 d,Kepler-249,3,15.368459,0.097,1.57,3.09,0.14,0.00972,4.39,332.0,296.9853002,43.6586043
Kepler-1408 b,Kepler-1408,1,2.99793191,0.04218,0.89,0.64,0.07940048,0.00201,4.99,1616.0,282.6998783,45.4257884
HR 8799 b,HR 8799,4,170000.0,68.0,13.0,2000.0,1.2,7.0,5.0,1200.0,346.8701486,21.1340376
Kepler-500 b,Kepler-500,1,8.508324398,0.08361,2.58,7.18,0.23017218,0.0226,2.3,909.0,295.9513472,43.8519884
CoRoT-17 b,CoRoT-17,1,3.7681,0.0461,11.43,772.29,1.02,2.43,2.82,1626.0,278.699236,-6.612288
Kepler-1685 b,Kepler-1685,1,20.4905,0.1485,2.57673985,7.16,0.22988133,0.0225,2.3,625.0,296.1882618,43.9368118
Kepler-296 b,Kepler-296,5,10.864384,0.079,1.61,3.22,0.14363458,0.0101,3.0,495.0,286.5400278,49.4372614
TOI-1744.01,TOI-1744,1,22.341702927,0.164086,2.68,7.65,0.239094,0.0241,2.18,598.0,294.2910707,60.881302
TOI-4377 b,TOI-4377,1,4.378081,0.0579,15.10970598,304.1617855,1.348,0.957,0.881,1162.08,164.9324709,-82.2213501
HD 64114 b,HD 64114,1,45.791,0.246,4.41,17.8,0.393,0.05600478,1.14,518.51,117.982556,-11.0337221
TOI-858 B b,TOI-858 B,1,3.2797178,0.04435,14.06727078,349.6112477,1.255,1.1,0.69,1529.0,60.1998256,-54.5929177
HD 27969 b,HD 27969,1,654.5,1.552,12.9,1525.5763536,1.15,4.8,3.91,261.0,66.7068364,42.90872
Kepler-1947 b,Kepler-1947,1,6.963630199,0.07375,1.0101666,1.01,0.09012118,0.00317,5.38,1298.0,296.1040313,42.3425818
Kepler-81 d,Kepler-81,3,20.837846,0.128,1.21,1.92,0.108,0.00606,5.96,418.0,293.6369437,42.8248275
Kepler-900 b,Kepler-900,1,6.9913086,0.0679,2.08,4.98,0.18556517,0.0157,3.04,716.0,296.177272,46.9989635
TOI-1296 b,TOI-1296,1,3.9443736,0.051,14.11645916,95.3,1.2593883,0.29984733,0.19,1414.84,256.7706392,70.2384806
