star_name,star_temperature,star_radius,star_mass,star_surface_gravity
HD 80653,5959.0,1.199,1.15,4.342
HD 80653,5959.0,1.199,1.15,4.342
XO-2 S,5325.0,1.02,0.98,4.42
Kepler-1808,5530.0,0.892,0.773,4.425
Kepler-418,5820.0,1.09,0.98,4.35
Kepler-249,3568.0,0.482,0.510238,4.777
Kepler-1408,6170.0,1.35,1.21,4.25
HR 8799,7204.58,1.49338,1.5,4.29656
Kepler-500,5813.0,1.03,1.02,4.42
CoRoT-17,5740.0,1.59,1.04,4.4
CoRoT-7,5250.0,0.8389,0.915,4.573
Kepler-1685,5484.0,0.835451,0.96,4.5765
Kepler-296,3740.0,0.48,0.498,4.774
TOI-1744,6179.0,1.14,1.18,4.3969
TOI-4377,4974.0,3.52,1.36,3.39
HD 64114,5676.0,0.882858,0.95,4.51786
TOI-858 B,5842.0,1.308,1.081,4.238
HD 27969,5966.0,1.27,1.16,4.12
Kepler-1947,6040.0,1.686,0.984,3.978
Kepler-81,4500.0,0.595,0.648,4.696
Kepler-900,4836.0,0.73,0.78,4.6
TOI-1296,5567.0,1.7031,1.1576,4.035
HD 24040,5802.0,1.3,1.11,4.26
Kepler-638,5382.0,0.93,0.88,4.43
Kepler-375,5826.0,0.837,0.891,4.567
Kepler-1590,6053.0,1.16,1.11,4.35
Kepler-666,5887.0,1.05,1.03,4.41
Kepler-586,5575.0,0.92,0.94,4.5
HD 180053,5131.0,4.06,1.75,3.54
Kepler-1827,5423.0,1.404,0.915,4.105
Kepler-83,4082.0,0.61,0.66,4.69
TOI-1410,4635.0,0.7558,0.7941,4.579
Kepler-578,5334.0,0.83,0.87,4.54
TOI-3807,5772.0,1.468,1.181,4.174
Kepler-239,4914.0,0.763,0.757,4.583
Kepler-1812,6174.0,1.103,1.162,4.417
HD 191939,5348.0,0.94,0.81,4.3
Kepler-931,5241.0,0.81,0.86,4.55
Kepler-501,5794.0,1.216,1.032,4.282
Kepler-1664,5735.81,1.072,0.944,4.353
WASP-105,5070.0,0.9,0.89,4.2
Kepler-58,5843.0,1.03,0.95,4.39
GJ 887,3688.0,0.468,0.495,4.156
TOI-1759,4065.0,0.597,0.606,4.65
HIP 70849,4105.0,0.633112,0.65,4.62349
KOI-142,5466.0,0.897,0.99,4.528
Barnard's star,3195.0,0.185,0.162,4.9
HATS-62,5416.0,0.933,0.896,4.451
Kepler-1350,3827.0,0.53,0.55,4.74
TOI-1410,4635.0,0.7558,0.7941,4.579
TOI-5110,6160.0,2.333,1.469,3.869
GJ 229,3564.0,0.46,0.509,4.69496
Kepler-341,6012.0,1.024,0.976,4.437
TOI-791,6294.0,1.474,1.28,3.71
Kepler-590,6000.0,1.15,1.1,4.35
HD 180902,4961.0,4.16,1.41,3.36
Qatar-7,6387.0,1.564,1.409,4.196
TOI-5624,5327.0,0.82,0.858,4.49
Kepler-764,5557.0,0.89,0.92,4.51
TOI-7166,3099.0,0.222,0.19,5.02
TOI-6695,6400.0,1.517,1.338,4.202
GJ 3998,3726.0,0.5,0.52,4.75
Kepler-656,5281.0,0.82,0.86,4.56
KOI-7892,6474.0,1.26,1.04,4.31
Kepler-751,5387.0,0.84,0.87,4.54
Kepler-276,5693.0,1.03,1.1,4.46
WASP-37,5800.0,1.003,0.925,4.25
TOI-1203,5737.0,1.179,0.886,4.34
Kepler-122,5917.0,0.949,1.03,4.35
Kepler-397,5307.0,0.767,0.844,4.572
Kepler-1503,5069.0,0.74,0.77,4.59
TOI-1776,5785.0,0.9356,0.9196,4.457
Kepler-1781,5568.0,0.957,1.053,4.499
HAT-P-40,6080.0,1.94,1.03,3.93
HD 81688,4797.0,11.13,1.07,2.37
K2-19,5350.0,0.824,0.892,4.556
Kepler-1309,5235.0,0.8,0.85,4.56
HD 169830,6300.0,1.935709,1.17,4.008828
TOI-2525,5096.0,0.785,0.849,4.58
Kepler-57,5187.9,0.826,0.859,4.54
Kepler-1300,6130.0,1.79,1.29,4.04
K2-104,3712.0,0.48,0.51,4.78
KOI-134,6160.0,1.667,1.407,4.11
TOI-1768,5994.0,1.1,1.1,4.4
HD 150706,5961.0,0.96,1.17,4.5
HR 8799,7400.0,1.49338,1.51,4.0
Kepler-770,5598.0,0.92,0.94,4.49
HD 95089,4918.0,5.08,1.54,3.24
HIP 10090,5661.0,1.38268,0.94,4.1434
Kepler-1600,5119.0,0.834,0.818,4.508
TOI-1782,4336.0,0.669,0.68,4.62012
Kepler-855,5835.0,1.03,1.03,4.42
Kepler-24,5897.0,1.289,1.046,4.2
Kepler-1435,6356.0,1.32,1.21,4.28
Kepler-1771,5661.0,0.934,0.941,4.471
Kepler-338,5923.0,1.735,1.105,4.017
HD 5583,4830.0,9.09,1.01,2.53
HD 188641,5897.32,1.94492,1.07,3.88965
K2-39,4881.0,2.97,0.66,3.44
Kepler-1872,5223.0,0.885,0.913,4.505
K2-130,4356.47,0.744261,0.69563,4.62
HD 89839,6314.0,1.28588,1.21,4.49
Kepler-106,5858.0,1.04,1.0,4.407
Kepler-430,5884.0,1.485,1.166,4.15
Ross 508,3071.0,0.2113,0.1774,5.039
Kepler-869,5664.0,0.95,0.97,4.47
GJ 2126,4159.0,0.728,0.65,4.527
WASP-46,5600.0,0.858,0.828,4.489
Kepler-932,5331.0,0.84,0.87,4.54
HD 1605,4915.0,3.49,1.33,3.4
Kepler-1206,4877.0,0.75,0.8,4.6
Kepler-520,6112.0,1.09,1.1,4.41
Kepler-27,5400.0,0.59,0.65,5.4
Kepler-1250,5717.0,0.98,0.99,4.46
TOI-2141,5635.0,0.95,0.896,4.4
GJ 317,3496.0,0.403,0.402,4.822436
Kepler-1851,5982.0,0.879,0.967,4.535
Kepler-350,6186.0,1.534,1.19,4.15
K2-414,4343.0,0.732,0.814,4.621
K2-148,4079.0,0.632,0.65,4.653
Kepler-633,5899.0,1.15,1.02,4.32
Kepler-61,4017.0,0.62,0.635,4.67
TOI-4562,6096.0,1.152,1.192,4.39
Kepler-1154,6327.0,1.43,1.26,4.23
Kepler-241,4699.0,0.668,0.671,4.627
Kepler-863,5678.0,0.95,0.96,4.46
CoRoT-35,6390.0,1.65,1.01,4.01
Kepler-1127,5664.0,0.95,0.97,4.47
Kepler-1234,4967.0,0.76,0.8,4.59
HAT-P-27,5316.0,0.864673,0.916,4.52626
Kepler-1934,5925.0,1.035,0.968,4.394
Kepler-1344,5981.0,1.13,1.09,4.37
Kepler-1124,3658.0,0.34,0.35,4.93
Kepler-117,6150.0,1.606,1.129,4.102
K2-97,4673.0,4.14,1.17,3.276
Kepler-1581,6022.0,1.23,1.12,4.31
TOI-206,3383.0,0.35,0.35,4.89
BD+48 740,4534.0,10.33,1.09,2.48
HD 4308,5686.0,1.02,0.93,4.39
Kepler-1403,6060.0,1.15,1.11,4.36
TOI-707,5424.0,0.978,0.99,4.39
Kepler-546,5967.0,1.15,1.11,4.36
Kepler-299,5617.0,1.032,1.004,4.394
TOI-283,5213.0,0.85,0.8,4.5
Kepler-236,3750.0,0.51,0.596005,4.753
HIP 8541,4672.0,6.84,2.009,2.95
HD 92788,5744.0,1.14,1.15,4.39
Kepler-310,5797.0,0.876,0.854,4.521
Kepler-1886,5745.0,0.837,0.928,4.559
HD 207832,5710.0,0.901,0.94,4.502
HAT-P-49,6820.0,2.06,2.22,4.1
TOI-6019,5561.0,2.02,1.13,4.0
16 Cyg B,5750.0,1.13,1.08,4.36
Kepler-522,6392.0,1.98,1.54,4.04
Kepler-1467,5332.0,0.82,0.86,4.55
Kepler-758,6228.0,1.42,1.16,4.19
Kepler-19,5541.0,0.859,0.936,4.55
Kepler-1102,5724.0,0.94,0.96,4.48
HD 72659,5929.0,1.36,1.033,4.23
HD 174205,4308.0,26.6,1.8,1.8
Kepler-617,3712.0,0.48,0.51,4.77
Kepler-371,5666.0,0.992,0.876,4.39
Kepler-265,5835.0,1.103,0.97,4.326
Kepler-1610,5295.0,0.8,0.825,4.548
Qatar-2,4645.0,0.776,0.743,4.53
HD 222076,4806.0,4.1,1.07,3.31
HD 98736,5271.0,0.93,0.92,4.47293
HD 40979,6165.0,1.21,1.45,4.43
TOI-286,5152.0,0.78,0.832,4.59
Kepler-750,6160.0,1.23,1.15,4.32
Kepler-282,5602.0,0.904,0.86,4.459
Kepler-278,4965.0,2.861,1.227,3.58
GJ 180,3371.0,0.413049,0.43,4.81473
HD 1461,5765.0,1.152288,1.02,4.38
Kepler-1248,6149.0,1.21,1.21,4.36
K2-275,4841.0,0.69,0.77,4.65
HD 74156,6068.0,1.510576,1.1,4.139148
Kepler-267,4258.0,0.555,0.541571,4.729
K2-86,5482.0,0.76,0.79,4.579
Kepler-377,5949.0,1.224,1.043,4.303
K2-195,5712.0,0.906367,0.963364,4.55
Proxima Cen,2900.0,0.141,0.1221,5.16372
HD 15906,4757.0,0.762,0.79,4.49
HD 196050,5879.0,1.42,1.27,4.25
TOI-1279,5457.0,0.8426,0.8784,4.529
K2-326,3924.0,0.688,0.507,4.462
Kepler-606,6161.0,1.22,1.13,4.32
Kepler-1575,5667.0,0.92,0.95,4.49
Kepler-729,5633.0,0.91,0.94,4.5
Kepler-1995,5029.0,0.93,0.847,4.429
Kepler-1434,6291.0,2.04,1.47,3.98
Kepler-82,5401.0,0.898,0.91,4.49
Kepler-1538,5837.0,1.03,1.03,4.42
K2-187,5438.0,0.83,0.966999,4.6
Kepler-464,5933.0,1.59,1.21,4.11
61 Vir,5577.0,0.963,0.942,4.34
Kepler-1782,4931.0,0.734,0.794,4.605
Kepler-1580,6228.0,2.15,1.47,3.94
Kepler-198,5636.0,0.93,0.97,4.49
Kepler-1737,5043.0,0.881,0.834,4.47
Kepler-134,5983.0,1.176,0.956,4.31
TOI-1860,5752.0,0.94,0.99,4.58
Kepler-132,6003.0,1.178,0.929,4.31
GJ 3942,3867.0,0.61,0.63,4.65
Kepler-26,3914.0,0.512,0.544,4.68
Kepler-1589,6166.0,1.25,1.18,4.32
GJ 581,3500.0,0.302,0.295,4.97
HD 196885 A,6254.0,1.31,1.28,4.31
TOI-5592,6237.0,1.393,1.194,4.226
Kepler-188,6021.0,1.141,1.021,4.346
HIP 65407,5460.0,0.952252,0.93,4.47
Kepler-324,5233.0,0.835,0.901,4.54
Kepler-279,6689.45,1.07,1.1,4.42
TOI-1444,5460.0,0.9105,0.9513,4.496
Kepler-329,4257.0,0.523,0.602,4.74
Kepler-487,5422.0,0.887,0.874,4.484
HD 43691,6093.0,1.6,1.32,4.28
Kepler-797,5680.0,0.95,0.96,4.47
Kepler-199,5644.0,0.967,0.96,4.438
HATS-8,5679.0,1.086,1.056,4.386
KOI-1783,5922.0,1.143,1.076,4.3
KELT-16,6236.0,1.36,1.211,4.253
Kepler-1681,5756.4,0.759,0.893,4.538
Kepler-780,5769.0,1.02,1.01,4.42
Kepler-1572,5618.0,0.95,0.97,4.47
Kepler-1389,5078.0,0.74,0.81,4.61
TOI-544,4169.0,0.623,0.631,4.68
Kepler-251,5526.0,0.89,0.891,4.486
Kepler-127,6106.0,1.359,1.248,4.265
CoRoT-12,5675.0,1.116,1.078,4.375
Kepler-1256,6129.0,1.36,1.17,4.23
G 264-012,3326.0,0.305,0.297,4.85
GJ 143,4640.0,0.695,0.73,4.613
K2-10,5533.0,0.956,0.88,4.47
Kepler-182,6250.0,1.146,1.114,4.401
TOI-1659,5977.0,1.006,1.1,4.47
Kepler-19,5544.0,0.859,0.936,4.51
TOI-237,3226.0,0.2056,0.1698,5.0494
Kepler-564,5626.0,0.92,0.95,4.49
Kepler-878,5044.0,0.77,0.81,4.58
Kepler-228,6043.0,1.014,1.006,4.467
HD 6434,5769.0,1.12,1.1,4.38
CoRoT-7,5275.0,0.83,0.82,4.5
TOI-2969,4738.0,0.7,0.71,4.56
Kepler-610,5943.0,1.13,1.1,4.37
Kepler-1473,6046.0,1.09,1.09,4.4
Kepler-447,5493.0,1.05,1.0,4.4
Kepler-290,5142.0,0.755,0.84,4.602
HD 34445,5836.0,1.38,1.07,4.21
Kepler-384,5577.0,0.882,0.882,4.475
HD 120084,4879.0,10.37,2.16,2.74
Kepler-191,5282.0,0.789,0.857,4.594
GJ 680,3563.0,0.45933,0.456,4.77323
Kepler-917,5418.0,0.76,0.8,4.58
TOI-1224,3326.0,0.404,0.4,4.893
TOI-1422,5840.0,1.019,0.9903,4.412
Kepler-980,5935.0,1.06,1.05,4.41
HATS-59,5670.0,1.036,1.038,4.422
HD 73267,5387.0,0.909,0.93,4.447
Kepler-580,4298.0,0.64,0.67,4.66
HD 152843,6310.0,1.43,1.15,4.19
HD 217786,5966.0,1.27,1.14,4.35
HR 8799,7204.58,1.49338,1.5,4.29656
TOI-4342,3866.0,0.598,0.587,4.652
Kepler-193,6335.0,1.147,1.051,4.403
K2-269,6209.0,1.45,1.16,4.18
KOI-12,6635.0,1.4,1.5,4.308
Kepler-1773,6183.0,1.3,1.241,4.301
NGTS-16,5550.0,1.213,1.002,4.35
Kepler-637,6096.0,2.56,1.64,3.84
HD 113337,6774.0,1.5,1.41,4.21
K2-30,5425.0,0.844,0.9,4.54
Kepler-1675,5853.19,1.12865,1.06,4.35826
Kepler-1788,4786.0,0.704,0.686,4.579
Kepler-497,5834.0,1.11,1.09,4.39
Kepler-179,5302.0,0.759,0.893,4.613
HD 87646,5770.0,1.55,1.12,4.1
Kepler-139,5622.0,1.045,1.078,4.34518
HD 29985,4678.0,0.574666,0.75,4.7943
Kepler-668,5352.0,0.82,0.87,4.55
Kepler-56,4819.44,4.21799,1.29,3.31
Kepler-205,4321.0,0.546,0.592,4.735
Kepler-1156,5778.0,1.0,1.0,4.44
HR 858,6354.0,1.258,1.204,4.3
Kepler-989,5074.0,0.78,0.82,4.58
HD 165155,5426.0,0.95,1.02,4.49
HD 22946,6169.0,1.117,1.098,4.47
HD 13908,6255.0,1.67,1.29,4.11
Kepler-1446,4865.0,0.75,0.81,4.6
Kepler-1697,4681.53,0.772344,0.747,4.53577
HD 11112,5905.64,1.47368,1.07,4.13064
